Record Number,Artist Name,Album Type,Album/Single Name,Total Tracks,Release Date,Genre,Album Popularity,Album Label
0,Taylor Swift,album,1989 (Taylor's Version),21,2023-10-26,pop,93,Taylor Swift
1,Brent Faiyaz,album,Larger Than Life,14,2023-10-27,"r&b, rap",73,ISO Supremacy under exclusive license to UnitedMasters LLC
2,Jay Wheeler,album,TRAPPii,12,2023-10-27,"reggaeton, trap latino, urbano latino",60,Linked Music / Dynamic Records / EMPIRE
3,Rema,single,RAVAGE,5,2023-10-26,"afrobeats, nigerian pop",55,Mavin Records / Jonzing World
4,Green Day,single,The American Dream Is Killing Me,1,2023-10-24,"modern rock, permanent wave, punk, rock",56,Warner Records
5,David Guetta,single,Big FU,2,2023-10-27,"big room, dance pop, edm, pop, pop dance",54,Parlophone UK
6,NLE Choppa,single,WE SEE YOU,1,2023-10-26,"memphis hip hop, rap",45,Warner Records
7,Alec Benjamin,single,Different Kind Of Beautiful,1,2023-10-27,"alt z, pop, pov: indie",51,Elektra (NEK)
8,The Kid LAROI,single,WHAT JUST HAPPENED,1,2023-10-27,australian hip hop,59,Columbia
9,Mariah the Scientist,album,To Be Eaten Alive,10,2023-10-27,alternative r&b,57,Buckles Laboratories/Epic
10,Alvaro Diaz,single,FATAL FANTASSY,1,2023-10-27,"trap boricua, urbano latino",53,Alvaro Diaz
11,Kaskade,album,REDUX 006,7,2023-10-27,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house",43,Arkade
12,MK,single,Take My Chance,1,2023-10-27,"house, pop dance",35,Columbia
13,Tee Grizzley,single,Robbery 6,4,2023-10-24,"detroit hip hop, detroit trap, rap, southern hip hop, trap",46,300 Entertainment
14,Dylan Gossett,single,No Better Time,6,2023-10-27,,48,Dylan Gossett
15,Joyner Lucas,single,24 hours to live,1,2023-10-27,"boston hip hop, hip hop, pop rap, rap",50,Twenty Nine Music Group
16,Duran Duran,album,DANSE MACABRE,13,2023-10-27,"album rock, dance rock, new romantic, new wave, new wave pop, rock, soft rock, synthpop",50,BMG Rights Management (US) LLC
17,Taking Back Sunday,album,152,10,2023-10-27,"emo, neon pop punk, pop punk, post-hardcore, screamo",47,Fantasy
18,Ivan Theva,album,Gardens,7,2023-10-27,,30,Descendant Records
19,The Gaslight Anthem,album,History Books,10,2023-10-27,"heartland rock, new jersey hardcore, new jersey indie, new jersey punk",52,Rich Mahogany Recordings
20,HEARTSTEEL,single,PARANOIA,1,2023-10-23,,72,Riot Games
