Track ID,Track Name,Artist Name,Album Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Tempo,Time Signature,Valence
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,Hot Fuss,88,0.00121,0.352,222973,0.911,0,148.033,4,0.236
005mzp5KA5uOpxSqCLXpY2,Arranhão - Ao Vivo,Henrique & Juliano,Onde Haja Sol,0,0.617,0.486,153410,0.871,0,151.175,4,0.663
00ake6KfnzbZ2MaRLGqsyX,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",66,0.586,0.271,277500,0.726,0,87.425,4,0.532
01Mpj13vURSO3cCLprPt5T,Raining Blood,Slayer,Reign In Blood,66,0.000489,0.294,254400,0.995,0.331,88.777,4,0.0379
01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,Show Me How,85,0.674,0.791,215111,0.267,0.534,165.99,4,0.544
02JRU5lHhypYRUKlF4mw8o,Turning Away - Parra for Cuva Remix,Monolink,Turning Away (Parra for Cuva Remix),59,0.0844,0.81,261538,0.688,0.52,117.015,4,0.1
052z2UsE2wPrHsBJ9tly0g,Playground Love,Air,The Virgin Suicides (Original Motion Picture Score),67,0.265,0.33,211500,0.423,0.731,143.086,4,0.117
05EG9LwFCVjkoYEWzsrHHO,Legend,Tevvez,Phantom,71,0.0408,0.294,189679,0.707,0.106,149.94,4,0.0395
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,The Black Crowes,Shake Your Money Maker,73,0.00257,0.599,188067,0.79,0.00181,103.783,4,0.961
06gHSIzmV33O6dxRJhSlRZ,I Deserve A Drink,Madison Hughes,I Deserve A Drink,62,0.782,0.54,199839,0.258,0,123.752,3,0.364
06p2Ij0lXD45LODQDCov0u,Rosas,La Oreja de Van Gogh,París,70,0.622,0.783,237027,0.693,0.0000083,106.991,4,0.528
06WUUNf7q18NZfjIsQFsfa,Delusions of Saviour,Slayer,Repentless,76,0.000179,0.223,115413,0.805,0.814,168.165,4,0.25
07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,Cupid,Time for a Change,64,0.191,0.785,231360,0.582,0,71.774,4,0.861
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,90,0.0483,0.691,161124,0.631,0.0000113,92.004,4,0.8
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black,85,0.011,0.31,255493,0.7,0.00965,188.386,4,0.763
097ftnCPnGHhn93lS0HHlO,Twinkle Twinkle Little Star,CoComelon,"CoComelon Kids Hits, Vol. 3",70,0.673,0.459,177477,0.206,0,160.072,4,0.354
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),78,0.433,0.87,204764,0.523,0.0000207,110.02,4,0.319
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,The Middle,82,0.171,0.753,184732,0.657,0,107.01,4,0.437
09IT6ZbPsY5EioVEqeyq4j,Brighter Days - Dajae- Underground Mix '93,Cajmere,It's Time,51,0.000271,0.878,327138,0.737,0.445,123.993,4,0.235
0a2cA9H6KuOsoHLCnjl6YL,Ready To Fly - Sub Focus & Dimension,Sub Focus,Ready To Fly (Sub Focus & Dimension),64,0.0485,0.485,204500,0.969,0.664,173.941,4,0.448
0AaEbPXWdeiW6MbW80Eibj,Casper Cha-Cha Slide (Live Platinum Band),Casper & Col'ta,The Slide Album,49,0.00145,0.978,387500,0.71,0.000135,122.02,4,0.455
0AHQvy0hsEV1CqK9hzzGiu,Cabin Song - from The Hunger Games: The Ballad of Songbirds & Snakes,Billy Strings,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),44,0.0572,0.578,206931,0.619,0.000143,132.361,4,0.559
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,This Is What You Came For,85,0.199,0.631,222160,0.927,0.119,123.962,4,0.465
0bfvHnWWOeU1U5XeKyVLbW,Can't Take My Eyes off You,Frankie Valli,Solo,77,0.508,0.581,203680,0.78,0.0000107,123.711,4,0.561
0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,Religiously. The Album.,85,0.426,0.57,178723,0.67,0,140.924,4,0.593
0btB1fHGwvipD4IUmyh1vL,Fever,Vybz Kartel,King Of The Dancehall,64,0.139,0.891,204500,0.62,0.0000161,98.094,4,0.404
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,89,0.164,0.336,241107,0.627,0,150.273,4,0.35
0C2VBTRjLyFAOdAmgXNBIu,Por una cabeza (Arr. Lenehan),Carlos Gardel,The Silver Violin,31,0.921,0.335,233840,0.25,0.327,132.086,4,0.343
0c8f8b76ThPP2MInXEZyTY,El Sol No Regresa,La Quinta Estacion,Recuérdame Con Cartas Y Algo Más... Los Exitos (Deluxe Edition),63,0.0505,0.579,228107,0.898,0,127.876,4,0.635
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,83,0.462,0.5,153800,0.501,0,144.438,4,0.623
0CjJJrpnQCpQMsT4nzezII,Halo,Pendulum,Halo,61,3.88E-05,0.431,167993,0.887,0.00704,173.988,4,0.475
0CMYUXTTTmI6Lwc0opH2XG,Herinneringen,Sohn Aelia,Herinneringen,72,0.99,0.0685,172357,0.00342,0.91,73.644,1,0.0581
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,Fallen,87,0.00721,0.331,235893,0.943,0.00000206,94.612,4,0.296
